frame,state,observed_target_depth_m,effective_focus_distance_m
59,tracking,40.592201232910156,40.5010259592192
60,tracking,40.430419921875,40.44101082747663
61,tracking,40.264041900634766,40.29058723966104
62,tracking,40.44524002075195,40.42204210358832
63,tracking,39.931861877441406,40.00538891136344
64,tracking,38.53956985473633,38.75944271323039
65,tracking,39.409217834472656,39.31175156628632
66,tracking,39.7523078918457,39.686224443011795
67,tracking,39.017234802246094,39.11758324836095
68,tracking,39.72162628173828,39.63101982673168
69,tracking,39.12480926513672,39.20074084937597
70,tracking,39.21778869628906,39.21523151925209
71,tracking,38.92255783081055,38.96645888407678
72,tracking,38.43408203125,38.51393855917402
73,tracking,39.04610061645508,38.96627630786292
74,tracking,39.864925384521484,39.7301280230227
75,tracking,40.88059997558594,40.70802918270145
76,tracking,41.252174377441406,41.170552598230415
77,tracking,40.97377014160156,41.00328751009589
78,tracking,41.85539245605469,41.72757671416087
79,tracking,42.833961486816406,42.66800377091808
80,tracking,43.07415008544922,43.01322813826955
81,tracking,42.21364212036133,42.33358002304756
82,tracking,41.28082275390625,41.438736344277444
83,tracking,41.93559646606445,41.8610674477964
84,tracking,42.27301025390625,42.21121883298977
85,tracking,41.55013656616211,41.64929890618626
86,tracking,41.62744140625,41.63072003124044
87,tracking,40.96086883544922,41.0613465148179
88,tracking,40.07469940185547,40.22269646879983
89,tracking,39.55403137207031,39.65433113657974
90,tracking,37.905853271484375,38.16812495124868
91,tracking,36.91615676879883,37.1039519961663
92,tracking,36.47877883911133,36.57255481266957
93,tracking,36.81187438964844,36.775976453101606
94,tracking,36.35362243652344,36.41697553901016
95,tracking,34.98365783691406,35.198655492228475
96,tracking,36.14263916015625,36.00104160996708
97,tracking,37.0086784362793,36.857532912332466
98,tracking,37.871063232421875,37.71903368440846
99,tracking,38.12029266357422,38.06010381669935
100,tracking,39.01557159423828,38.87225142760744
101,tracking,38.488059997558594,38.545688712065925
102,tracking,38.8422737121582,38.79778596214436
103,tracking,39.3489990234375,39.26631706424353
104,tracking,40.11389923095703,39.986761905950004
105,tracking,41.986019134521484,41.68613055023576
106,tracking,42.13436508178711,42.067129902054404
107,tracking,41.8700065612793,41.89957506239556
108,tracking,40.518348693847656,40.72553264912984
109,tracking,41.76995849609375,41.613294619049164
110,tracking,40.53437805175781,40.69621553685152
111,tracking,39.725433349609375,39.8710506776957
112,tracking,38.555789947509766,38.75307905703766
113,tracking,38.436683654785156,38.484142965123034
114,tracking,39.09882736206055,39.006624702519915
115,tracking,39.39735412597656,39.338744712458066
116,tracking,40.26990509033203,40.13023103365094
117,tracking,39.965065002441406,39.989839907122835
118,tracking,40.453643798828125,40.384073215072334
119,tracking,41.01116180419922,40.91709851583019
120,tracking,41.07960510253906,41.05522911453273
121,deep-focus-pull,,41.05522911453273
122,deep-focus-pull,,41.05522911453273
123,deep-focus-pull,,41.05522911453273
124,deep-focus-pull,,41.05522911453273
125,deep-focus-pull,,41.05522911453273
126,deep-focus-pull,,41.05522911453273
127,deep-focus-pull,,41.05522911453273
128,deep-focus-pull,,41.05522911453273
129,deep-focus-pull,,41.05522911453273
130,deep-focus-pull,,41.05522911453273
131,deep-focus-pull,,41.05522911453273
132,deep-focus-pull,,41.05522911453273
133,deep-focus-pull,,41.05522911453273
134,deep-focus-pull,,41.05522911453273
135,deep-focus-pull,,41.05522911453273
136,deep-focus-pull,,41.05522911453273
137,deep-focus-pull,,41.05522911453273
138,deep-focus-pull,,41.05522911453273
139,deep-focus-pull,,41.05522911453273
140,deep-focus-pull,,41.05522911453273
141,deep-focus-pull,,41.05522911453273
142,deep-focus-pull,,41.05522911453273
143,deep-focus-pull,,41.05522911453273
144,deep-focus-pull,,41.05522911453273
145,deep-focus-pull,,41.05522911453273
146,deep-focus-pull,,41.05522911453273
147,deep-focus-pull,,41.05522911453273
148,deep-focus-pull,,41.05522911453273
149,deep-focus-pull,,41.05522911453273
150,deep-focus-pull,,41.05522911453273
151,deep-focus-pull,,41.05522911453273
152,deep-focus-pull,,41.05522911453273
153,deep-focus-pull,,41.05522911453273
154,deep-focus-pull,,41.05522911453273
155,deep-focus-pull,,41.05522911453273
156,deep-focus-pull,,41.05522911453273
157,deep-focus-pull,,41.05522911453273
158,deep-focus-pull,,41.05522911453273
159,deep-focus-pull,,41.05522911453273
160,deep-focus-pull,,41.05522911453273
161,deep-focus-pull,,41.05522911453273
162,deep-focus-pull,,41.05522911453273
163,deep-focus-pull,,41.05522911453273
164,deep-focus-pull,,41.05522911453273
165,deep-focus-pull,,41.05522911453273
166,deep-focus-pull,,41.05522911453273
167,deep-focus-pull,,41.05522911453273
168,deep-focus-pull,,41.05522911453273
169,deep-focus-pull,,41.05522911453273
170,deep-focus-pull,,41.05522911453273
171,deep-focus-pull,,41.05522911453273
172,deep-focus-pull,,41.05522911453273
173,deep-focus-pull,,41.05522911453273
174,deep-focus-pull,,41.05522911453273
175,deep-focus-pull,,41.05522911453273
176,deep-focus-pull,,41.05522911453273
177,deep-focus-pull,,41.05522911453273
178,deep-focus-pull,,41.05522911453273
179,deep-focus-pull,,41.05522911453273
180,deep-focus-pull,,41.05522911453273
181,deep-focus-pull,,41.05522911453273
182,deep-focus-pull,,41.05522911453273
183,deep-focus-pull,,41.05522911453273
184,deep-focus-pull,,41.05522911453273
185,deep-focus-pull,,41.05522911453273
186,deep-focus-pull,,41.05522911453273
187,deep-focus-pull,,41.05522911453273
188,deep-focus-pull,,41.05522911453273
189,deep-focus-pull,,41.05522911453273
190,deep-focus-pull,,41.05522911453273
191,deep-focus-pull,,41.05522911453273
192,deep-focus-pull,,41.05522911453273
193,deep-focus-pull,,41.05522911453273
194,deep-focus-pull,,41.05522911453273
195,deep-focus-pull,,41.05522911453273
196,deep-focus-pull,,41.05522911453273
197,deep-focus-pull,,41.05522911453273
198,deep-focus-pull,,41.05522911453273
199,deep-focus-pull,,41.05522911453273
200,deep-focus-pull,,41.05522911453273
201,deep-focus-pull,,41.05522911453273
202,deep-focus-pull,,41.05522911453273
203,deep-focus-pull,,41.05522911453273
204,deep-focus-pull,,41.05522911453273
205,deep-focus-pull,,41.05522911453273
206,deep-focus-pull,,41.05522911453273
