frame,state,observed_target_depth_m,effective_focus_distance_m
1,tracking,38.126041412353516,38.126041412353516
2,tracking,37.87309265136719,37.91103496551514
3,tracking,36.654666900634766,36.84312211036682
4,tracking,36.82454299926758,36.82732986593246
5,tracking,36.14955139160156,36.2512181627512
6,tracking,35.2084846496582,35.36489467662215
7,tracking,34.59120559692383,34.707258958878576
8,tracking,35.9362907409668,35.751935973653566
9,tracking,36.117919921875,36.06302232964178
10,tracking,36.83515930175781,36.719338755940406
11,tracking,36.45928955078125,36.498296931555124
12,tracking,36.54462432861328,36.537675219054556
13,tracking,35.43640899658203,35.601598929952914
14,tracking,35.813655853271484,35.7818473147737
15,tracking,36.037498474121094,35.999150800218985
16,tracking,36.036720275878906,36.03108485452992
17,tracking,34.2961311340332,34.55637419210771
18,tracking,34.858726501464844,34.81337365506127
19,tracking,36.250205993652344,36.03468114286368
20,tracking,36.48503875732422,36.41748511515514
21,tracking,35.54732131958008,35.67784588891634
22,tracking,36.84551239013672,36.670362414953665
23,tracking,35.70317840576172,35.848256007140506
24,tracking,36.38809585571289,36.30711987842703
25,tracking,35.06694030761719,35.252967243238665
26,tracking,35.02738571166992,35.061222941405234
27,tracking,35.597251892089844,35.51684754948715
28,tracking,35.25489807128906,35.294190493018775
29,tracking,35.3848876953125,35.37128311496844
30,tracking,34.636566162109375,34.74677370503824
31,tracking,35.99449157714844,35.80733389633191
32,tracking,36.26028823852539,36.19234508719637
33,tracking,35.67280578613281,35.750736681292345
34,tracking,35.71088409423828,35.71686198229639
35,tracking,37.46628952026367,37.20387538956858
36,tracking,36.98251724243164,37.01572096450218
37,tracking,37.80724334716797,37.688514989768095
38,tracking,35.41046142578125,35.75216946037928
39,tracking,35.455692291259766,35.500163866627695
40,tracking,35.135093688964844,35.18985421561427
41,tracking,38.451595306396484,37.962334142779156
42,tracking,38.158809661865234,38.12933833400232
43,tracking,33.590694427490234,34.27149101346705
44,tracking,34.460792541503906,34.43239731229838
45,tracking,36.45166778564453,36.14877721464261
46,tracking,36.637935638427734,36.56456187485997
47,tracking,36.896610260009766,36.846803002237294
48,tracking,36.983642578125,36.96311664174185
49,tracking,34.9229850769043,35.22900481162993
50,tracking,34.503509521484375,34.61233381500621
51,tracking,35.10173797607422,35.028327351914015
52,tracking,35.652671813964844,35.55902014465722
53,tracking,36.918556213378906,36.71462580307065
54,tracking,38.00702667236328,37.81316654196939
55,tracking,39.153350830078125,38.95232318686181
56,tracking,39.42060089111328,39.350359235475565
57,tracking,40.77998733520508,40.56554312024565
58,tracking,39.881805419921875,39.98436607497044
