frame,state,raw_model_target_depth_m,motion_prior_depth_m,measured_current_focus_distance_m
1,tracking,38.126041412353516,38.126041412353516,37.98113250732422
2,tracking,37.87309265136719,37.76184172091754,37.75190773010254
3,tracking,36.654666900634766,37.30268716632571,37.380129680633544
4,tracking,36.82454299926758,36.79912538001434,36.999471692085265
5,tracking,36.14955139160156,36.30984050335157,36.64266291079521
6,tracking,35.2084846496582,35.81389370701485,36.24885171475649
7,tracking,34.59120559692383,35.26394447381075,35.50719641718662
8,tracking,35.9362907409668,34.79055151534482,35.07226629119127
9,tracking,36.117919921875,34.27411261004587,34.615022377760724
10,tracking,36.83515930175781,33.76974807965132,34.19226804324858
11,tracking,36.45928955078125,33.21796920683199,34.12445483051072
12,tracking,36.54462432861328,32.679522127530134,33.75434994912494
13,tracking,35.43640899658203,32.110151211385705,33.3998828771954
14,tracking,35.813655853271484,31.56287632846401,32.96804155175754
15,tracking,36.037498474121094,30.803738622641692,32.028919096685755
16,tracking,36.036720275878906,30.230858737376646,31.4718913847055
17,tracking,34.2961311340332,29.678688019091116,31.142922684756606
18,tracking,34.858726501464844,29.128666627118513,30.709517092288685
19,tracking,36.250205993652344,28.588191634089814,29.950547970947795
20,tracking,36.48503875732422,28.06047925467932,29.48879610860604
21,tracking,35.54732131958008,27.545470961470762,29.19489019418397
22,tracking,36.84551239013672,27.133967860010213,28.855786110914703
23,tracking,35.70317840576172,26.71977470583865,28.485729519420406
24,tracking,36.38809585571289,26.252327681180994,28.079834029658667
25,tracking,35.06694030761719,25.833838913622326,27.67804699623347
26,tracking,35.02738571166992,25.301895038510608,27.215372630184532
27,tracking,35.597251892089844,24.889492165580457,27.218100724849947
28,tracking,35.25489807128906,24.45463038803477,26.90166976723579
29,tracking,35.3848876953125,24.015184264299062,26.26387204330192
30,tracking,34.636566162109375,23.53143407971646,25.804357417823415
31,tracking,35.99449157714844,22.993394837499967,25.784156782686942
32,tracking,36.26028823852539,22.5747551324314,25.509710595497523
33,tracking,35.67280578613281,22.19023622176658,25.114173264129317
34,tracking,35.71088409423828,21.721653795914317,24.656084157649182
35,tracking,37.46628952026367,21.336563396472226,25.254293170217203
36,tracking,36.98251724243164,20.948328375229696,24.976152379310655
37,tracking,37.80724334716797,20.54249262742079,24.35890502318688
38,tracking,35.41046142578125,20.16033436765781,23.87087972549341
39,tracking,35.455692291259766,19.739586437144073,22.97108024297318
40,tracking,35.135093688964844,19.319094977081246,22.493322101143242
41,tracking,38.451595306396484,18.96773544198136,22.360206658677345
42,tracking,38.158809661865234,18.58251020228047,22.026069363212002
43,tracking,33.590694427490234,18.258970246246722,21.506468254365835
44,tracking,34.460792541503906,18.06191431621575,21.275287884181488
45,tracking,36.45166778564453,17.565106660976603,21.17745031382229
46,tracking,36.637935638427734,17.245014526433728,20.984552689590434
47,tracking,36.896610260009766,16.987345231041935,20.743855713039395
48,tracking,36.983642578125,16.649964204966157,20.46211775514927
49,tracking,34.9229850769043,16.41864989316535,19.884928453525074
50,tracking,34.503509521484375,16.144243619940763,19.57811671324971
51,tracking,35.10173797607422,15.99633039441312,19.344842621428374
52,tracking,35.652671813964844,15.922317416607472,19.255573801508934
53,tracking,36.918556213378906,15.869297848527372,19.415840037511497
54,tracking,38.00702667236328,15.794638774094198,19.389874250865983
55,tracking,39.153350830078125,15.751630492811593,19.74918882119313
56,tracking,39.42060089111328,15.704975264219293,19.782004940610612
57,tracking,40.77998733520508,15.662966774995374,19.612993566408974
58,tracking,39.881805419921875,15.613142849226657,19.558237315448405
59,tracking,40.592201232910156,15.566995577948674,19.44501251000647
60,tracking,40.430419921875,15.514927867478084,19.40460177960766
61,tracking,40.264041900634766,15.465744623264143,19.33522239432152
62,tracking,40.44524002075195,15.410674659799152,19.33253910408231
63,tracking,39.931861877441406,15.354585044427541,19.342138079204876
64,tracking,38.53956985473633,15.300383299222611,19.300282542019893
65,tracking,39.409217834472656,15.260103041829256,19.18592058183399
66,tracking,39.7523078918457,15.18803165701464,19.1413477697397
67,tracking,39.017234802246094,15.13424754488189,19.053690320825943
68,tracking,39.72162628173828,15.093713586382696,18.99747815826183
69,tracking,39.12480926513672,15.040888043491117,19.825359772292742
70,tracking,39.21778869628906,14.987119613966218,19.88747421959757
71,tracking,38.92255783081055,14.914606111039957,20.59981243619281
72,tracking,38.43408203125,14.855338380046312,20.66098293186569
73,tracking,39.04610061645508,14.800254998809342,20.60111448842487
74,tracking,39.864925384521484,14.742396063341973,20.479394372818174
75,tracking,40.88059997558594,14.691243165779886,19.7636453772362
76,tracking,41.252174377441406,14.629442268825454,19.604766304266096
