frame,state,raw_model_target_depth_m,motion_prior_depth_m,measured_current_focus_distance_m
1,tracking,36.244117736816406,36.244117736816406,35.86643981933594
2,tracking,36.16009521484375,35.885776612358036,35.63433570861817
3,tracking,35.25835037231445,35.41919960658307,35.5375041770935
4,tracking,34.956321716308594,34.91857774862508,35.200999924659726
5,tracking,34.84820556640625,34.433856287063676,34.86034713225365
6,tracking,33.80939865112305,33.93969786591668,34.51424398725748
7,tracking,33.220333099365234,33.4002581485531,33.673987756230716
8,tracking,34.53175354003906,32.93003642104413,33.224948413678746
9,tracking,35.00749969482422,32.411064125047325,32.81420929543805
10,tracking,35.200096130371094,31.93130773351252,32.41737656490897
11,tracking,34.77967834472656,31.42149042997343,32.38120733007326
12,tracking,35.27491760253906,30.92776558832325,32.042518547631104
13,tracking,35.207332611083984,30.41304633398342,31.509227456369523
14,tracking,35.2301025390625,29.918582481025265,31.064578202622908
15,tracking,34.752113342285156,29.24629842754852,30.63932111073401
16,tracking,34.39476776123047,28.725116849028428,30.21588336558471
17,tracking,32.35248565673828,28.219497183614727,29.666055409805967
18,tracking,32.44601821899414,27.71186988858837,29.247177465065867
19,tracking,33.50165557861328,27.23476763886437,28.641489270821893
20,tracking,33.46562957763672,26.76670721217225,28.232703149839594
21,tracking,33.67006301879883,26.286106392338123,27.993036785799916
22,tracking,34.86043167114258,25.839909865601022,27.680422764879264
23,tracking,34.65479278564453,25.423611164232934,27.1682135078105
24,tracking,34.79964065551758,24.951604828509975,26.801213070940864
25,tracking,34.73090744018555,24.529723955244148,26.620313758431656
26,tracking,35.04705810546875,24.05543428792206,26.270487611707864
27,tracking,33.63121032714844,23.66688234110711,25.81182501095784
28,tracking,33.72385787963867,23.2496482820935,25.408196099666135
29,tracking,32.980262756347656,22.83867114660886,25.005619044313935
30,tracking,32.51620864868164,22.3682833442634,24.602695559741573
31,tracking,32.25828552246094,21.873723438972938,24.162243380439506
32,tracking,32.546756744384766,21.443464867134374,23.792752816422617
33,tracking,33.481346130371094,21.034831927520358,23.662560593209243
34,tracking,33.54618835449219,20.544685211666216,23.267690535056825
35,tracking,36.078102111816406,20.18469234295141,23.679151611874737
36,tracking,37.17140197753906,19.837686806085472,23.450429355703328
37,tracking,35.95941925048828,19.45698043462598,23.361733066380403
38,tracking,34.90098571777344,19.071583412562166,22.99107512643045
39,tracking,34.660003662109375,18.70763429419966,22.09622691990451
40,tracking,35.04962921142578,18.392072340809513,21.8223147256993
41,tracking,38.947715759277344,18.121307940080253,21.581718943474037
42,tracking,37.796669006347656,17.837697398728256,21.33982045977672
43,tracking,33.83403778076172,17.583929096237576,21.660467659725786
44,tracking,34.203590393066406,17.460378368978976,21.591030865206427
45,tracking,36.475650787353516,17.33628763351076,21.48799354274483
46,tracking,36.608116149902344,17.25287648722584,21.35113253360899
47,tracking,37.1116943359375,17.10280764479228,21.487326023229823
48,tracking,36.858863830566406,16.967657114336944,21.34777856428159
49,tracking,34.26838684082031,16.818130336640888,20.284715784428613
50,tracking,33.9268913269043,16.717687710059092,20.034088822132066
51,tracking,32.80801010131836,16.57056639928992,19.983542640794177
52,tracking,33.88908004760742,16.428083762747754,19.837963467804915
53,tracking,36.24699401855469,16.32144832155094,20.513319260771322
54,tracking,36.6590576171875,16.188681891694582,20.459699572160133
55,tracking,37.764854431152344,16.03488774605312,20.980508795534714
56,tracking,38.724342346191406,15.871629749459403,20.953326986902226
57,tracking,40.53841018676758,15.74297779444005,20.29980275134344
58,tracking,39.900108337402344,15.642723537482315,20.116457648724467
59,tracking,39.877071380615234,15.541433852112538,19.5643157046512
60,tracking,39.868141174316406,15.476239515122783,19.419601712844898
61,tracking,39.48521423339844,15.391818393285384,19.159882681700903
62,tracking,39.94658660888672,15.301609524319089,19.041024943759044
63,tracking,38.87512969970703,15.222833460018272,19.076627698625625
64,tracking,37.61476516723633,15.13802136613655,19.01080512510024
65,tracking,38.2515754699707,15.055977208220298,18.773167704800194
66,tracking,38.9985237121582,14.963230178715289,18.694390454181942
67,tracking,38.723541259765625,14.883476040569471,18.52552373383774
68,tracking,39.07780456542969,14.796038717123404,18.441365181169413
69,tracking,38.29969787597656,14.701071722059401,18.716760673934445
70,tracking,38.60215759277344,14.615832260357312,18.704105192246175
